1,Symphony in C minor,Symphony ,Brahms,C minor,1876,68
2,Symphony in D major,Symphony ,Brahms,D major,1877,73
3,Symphony in F major,Symphony ,Brahms,F major,1883,90
4,Symphony in E minor,Symphony ,Brahms,E minor,1885,98
5,Symphony in C major,Symphony ,Beethoven,C major,1800,21
6,Symphony in D major,Symphony ,Beethoven,D major,1803,36
7,Symphony in E-flat major,Symphony ,Beethoven,E-flat major,1804,55
8,Symphony in B-flat major,Symphony ,Beethoven,B-flat major,1807,60
9,Symphony in C minor,Symphony ,Beethoven,C minor,1808,67
10,Symphony in F major,Symphony ,Beethoven,F major,1808,68
11,Symphony in A major,Symphony ,Beethoven,A major,1813,92
12,Symphony in F major,Symphony ,Beethoven,F major,1814,93
13,Symphony in D minor,Symphony ,Beethoven,D minor,1824,125
